Month,Open Price,High Price,Low Price,Close Price,Volume
2015-01,686.00,727.97,653.77,709.84,7857377
2015-02,713.55,726.63,647.28,664.97,11274541
2015-03,664.97,692.43,650.54,650.54,7447762
2015-04,650.00,699.03,619.72,621.34,16343815
2015-05,628.96,641.96,612.26,615.52,9573903
2015-06,615.01,623.18,598.04,604.99,8970945
2015-07,606.31,746.40,597.33,742.23,16958982
2015-08,743.47,758.61,685.00,710.01,9661460
2015-09,697.73,741.89,696.10,720.25,7623301
2015-10,717.60,757.00,640.05,640.23,14643238
2015-11,610.00,632.97,532.03,579.55,26167354
2015-12,583.28,589.15,477.97,479.85,40639489
2016-01,468.70,478.37,399.14,452.97,38308075
2016-02,476.12,530.85,435.86,509.16,31304149
2016-03,514.25,542.50,452.78,470.97,31523283
2016-04,459.30,473.17,415.00,420.97,23477168
2016-05,422.00,467.00,420.33,441.96,19354352
2016-06,442.11,447.08,384.77,402.76,25344375
2016-07,400.00,444.13,386.10,423.99,25311558
2016-08,423.60,426.62,387.01,413.73,21766228
2016-09,415.81,441.20,395.11,423.50,23306603
2016-10,423.03,440.00,360.15,360.76,28915757
2016-11,360.28,419.30,352.96,396.33,25404317
2016-12,396.99,410.83,362.45,377.32,25261232
2017-01,379.11,425.61,372.87,421.44,18167254
2017-02,420.31,434.69,395.08,418.74,18942438
2017-03,422.51,453.08,394.19,445.52,17931038
2017-04,449.20,497.48,445.25,474.47,19039603
2017-05,473.01,499.00,465.99,477.35,15842638
2017-06,479.81,487.52,410.98,416.10,20978985
2017-07,415.81,419.73,336.52,343.77,41332927
2017-08,344.08,355.48,296.00,316.71,27678463
2017-09,316.94,326.45,295.11,307.83,24664646
2017-10,307.91,331.99,264.90,271.90,29570431
2017-11,271.90,308.18,263.00,304.39,23688097
2017-12,302.40,333.33,286.40,289.03,22181715
2018-01,290.90,345.88,289.00,324.76,21317681
2018-02,314.06,330.14,247.52,318.41,37941285
2018-03,318.26,344.34,309.03,323.11,15693797
2018-04,322.24,433.00,307.70,423.33,26197729
2018-05,423.29,447.71,415.24,430.18,15153568
2018-06,431.59,474.46,415.06,431.37,16246628
2018-07,427.98,483.29,424.36,433.66,16843331
2018-08,435.00,530.68,429.01,475.18,19937012
2018-09,476.19,497.87,453.67,454.52,11531239
2018-10,446.97,470.78,411.55,460.33,19263664
2018-11,462.00,500.98,454.37,473.21,13163355
2018-12,477.52,483.08,383.20,431.79,12446786
2019-01,427.83,543.90,423.98,529.61,15680278
2019-02,529.48,612.60,519.09,607.53,15774581
2019-03,610.10,711.49,604.64,710.31,12358193
2019-04,712.15,721.21,658.50,688.04,14465299
2019-05,688.86,727.00,656.14,659.97,11893050
2019-06,657.63,749.25,636.73,732.88,9412832
2019-07,738.43,811.95,717.24,795.53,11421854
2019-08,794.73,848.84,770.53,838.42,8373488
2019-09,833.00,857.90,779.78,840.47,10145971
2019-10,845.08,856.75,758.88,778.16,13064651
2019-11,778.26,825.60,728.00,813.92,9134530
2019-12,813.11,842.27,798.02,837.11,6834778
2020-01,839.97,888.58,837.53,866.76,6555620
2020-02,868.00,940.28,702.95,773.58,11930167
2020-03,779.52,781.78,415.00,654.40,24002374
2020-04,630.02,909.88,599.78,878.55,16983507
2020-05,858.77,1087.00,856.50,1003.91,11402524
2020-06,1012.81,1074.00,964.50,1052.36,8667256
2020-07,1053.85,1187.00,1048.04,1155.16,8283860
2020-08,1153.28,1325.00,1132.97,1310.28,4798684
2020-09,1325.00,1384.46,1180.00,1243.71,7390997
2020-10,1255.57,1366.66,1191.31,1201.48,9080785
2020-11,1210.00,1346.00,1172.29,1289.43,6173718
2020-12,1290.00,1435.52,1275.21,1386.71,5891114
2021-01,1386.68,1510.19,1312.33,1480.00,5024494
2021-02,1495.10,1564.91,1350.00,1442.00,5682216
2021-03,1444.83,1511.00,1256.26,1420.82,6810333
2021-04,1438.15,1579.52,1432.40,1492.03,6171097
2021-05,1500.00,1500.00,1295.10,1371.98,5159653
2021-06,1372.00,1556.00,1320.83,1550.34,6872940
2021-07,1543.90,1866.83,1525.00,1863.44,7059215
2021-08,1876.91,1940.99,1840.00,1903.33,3767928
2021-09,1908.00,1958.54,1816.31,1817.52,5419879
2021-10,1836.58,1870.51,1740.16,1779.03,5033065
2021-11,1784.54,1895.99,1635.00,1643.41,4463201
2021-12,1656.00,1776.67,1567.96,1748.25,4543128
2022-01,1740.00,1749.07,1296.79,1485.58,7389498
2022-02,1500.00,1616.00,1362.00,1523.35,7131881
2022-03,1516.93,1614.56,1277.41,1582.03,6340335
2022-04,1586.00,1645.00,1425.50,1455.61,4661038
2022-05,1451.17,1463.96,1230.91,1402.55,6272992
2022-06,1401.35,1413.45,1196.28,1307.26,4737199
2022-07,1302.08,1574.47,1233.61,1564.22,6117725
2022-08,1558.61,1724.87,1546.03,1596.80,4477238
2022-09,1578.84,1754.56,1501.07,1502.76,5452601
2022-10,1514.00,1591.43,1442.00,1498.33,7965210
2022-11,1511.51,1634.74,1360.30,1626.96,5741793
2022-12,1625.01,1638.33,1371.22,1387.49,5473546
2023-01,1400.30,1648.96,1344.05,1646.38,5575257
2023-02,1646.61,1724.71,1470.29,1491.08,6401137
2023-03,1483.00,1709.00,1470.05,1708.29,5678645
2023-04,1695.00,2071.00,1664.71,2067.62,6811628
2023-05,2055.00,2139.88,2016.39,2076.49,6315601
2023-06,2058.13,2144.16,2014.15,2139.00,5393626
2023-07,2138.00,2175.01,1872.64,1962.28,6780048
2023-08,1949.84,1973.16,1837.11,1926.64,5232164
2023-09,1928.16,1976.03,1795.01,1831.83,4421974
2023-10,1830.95,1958.00,1768.63,1942.20,6165354
2023-11,1950.00,2238.50,1941.52,2202.25,4446631
2023-12,2199.81,2348.41,2199.81,2286.96,3371680
2024-01,2278.45,2439.63,2204.09,2408.77,4127523
2024-02,2414.00,2725.83,2411.80,2688.77,4991285
2024-03,2699.45,3023.98,2614.98,2906.77,5089591
2024-04,2919.17,3241.42,2846.18,3159.60,5984866
2024-05,3153.00,3260.00,3055.26,3129.52,4900400
2024-06,3138.88,3463.07,61.57,62.65,84327316
2024-07,62.69,62.95,49.41,54.32,451156514
2024-08,54.29,56.98,47.98,56.08,422554168
2024-09,55.99,59.00,52.65,57.62,207683111
2024-10,57.75,61.25,55.02,55.77,214702122
2024-11,56.34,62.74,55.88,61.52,191089404
2024-12,61.56,66.74,59.78,60.30,165561762
2025-01,60.79,61.16,55.30,58.35,188644840
2025-02,56.36,59.19,50.50,53.97,252324646
2025-03,55.02,55.70,47.55,50.21,296086324
2025-04,50.00,52.51,44.46,50.52,336188441
2025-05,50.72,52.68,49.31,50.08,237606745
2025-06,49.70,56.44,48.72,56.15,259264257
2025-07,56.16,58.42,42.82,42.88,429287630
2025-08,42.61,44.27,41.18,42.14,343484578
2025-09,41.81,42.26,38.30,39.19,468435468
2025-10,39.21,42.81,31.01,31.69,493788343
2025-11,31.65,32.29,29.75,31.19,434131050
